"symbol","date","open","high","low","close","volume","adjusted"
"VALE3",2010-01-04,50.189999,51.490002,49.799999,51.490002,2381400,31.468279
"VALE3",2010-01-05,51.540001,52.540001,51.240002,51.970001,3001800,31.761627
"VALE3",2010-01-06,52,53.369999,51.779999,53.07,2742800,32.433891
"VALE3",2010-01-07,52.509998,53.540001,52.5,53.290001,2543100,32.568344
"VALE3",2010-01-08,53.299999,54.240002,53,53.810001,2444500,32.88615
"VALE3",2010-01-11,54.599998,54.599998,53.34,53.650002,2785300,32.788357
"VALE3",2010-01-12,52.799999,53.5,52.299999,53.5,2606400,32.696682
"VALE3",2010-01-13,54.200001,54.380001,53.419998,54.16,2635700,33.100056
"VALE3",2010-01-14,54.18,54.799999,53.700001,54.150002,1593300,33.093937
"VALE3",2010-01-15,53.779999,53.990002,52.849998,53.450001,2225400,32.666126
"VALE3",2010-01-18,53.299999,54.349998,53.299999,54.200001,1109300,33.1245
"VALE3",2010-01-19,53.509998,55,53.509998,54.950001,1889000,33.582863
"VALE3",2010-01-20,53.91,54.41,53,53.450001,3131700,32.666126
"VALE3",2010-01-21,53.599998,53.599998,51.290001,51.599998,3569100,31.535488
"VALE3",2010-01-22,51.310001,51.549999,50.189999,50.509998,3474800,30.869329
"VALE3",2010-01-26,49.75,50.27,49.099998,49.490002,4364100,30.245955
"VALE3",2010-01-27,49.639999,49.639999,48.150002,48.810001,3296100,29.830387
"VALE3",2010-01-28,49.310001,49.880001,48.02,48.779999,2382800,29.812046
"VALE3",2010-01-29,49.130001,49.950001,48.509998,48.91,3402000,29.891499
"VALE3",2010-02-01,49.389999,50.549999,48.900002,50.389999,2664600,30.795996
"VALE3",2010-02-02,51.169998,51.189999,50.099998,50.389999,2521700,30.795996
"VALE3",2010-02-03,50.459999,50.610001,49.959999,50.279999,2879000,30.728779
"VALE3",2010-02-04,49.619999,49.799999,47.34,47.560001,4088600,29.066446
"VALE3",2010-02-05,47.09,47.400002,45.700001,47.16,3775100,28.821976
"VALE3",2010-02-08,47.57,48.700001,47.200001,47.5,4419400,29.029774
"VALE3",2010-02-09,48.200001,49.200001,48,48.5,4180900,29.640921
"VALE3",2010-02-10,48.75,48.900002,47.650002,48.549999,2637900,29.671471
